Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Count,User_Score,User_Count,Developer,Rating,Critic_Score
 Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,59,7.9,216,Bandai Namco Games,T,71
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,35,8.5,60,CyberConnect2,T,75
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,24,8.9,81,CyberConnect2,T,76
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,23,8.7,19,CyberConnect2,T,70
[Prototype 2],X360,2012,Action,Activision,0.48,0.24,0,0.07,0.79,69,7,173,Radical Entertainment,M,74
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0,0.1,0.74,39,6.8,179,Radical Entertainment,M,79
[Prototype 2],PC,2012,Action,Activision,0.07,0.03,0,0.01,0.11,12,6.4,389,Radical Entertainment,M,76
[Prototype],X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31,83,7.8,356,Radical Entertainment,M,78
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0,0.19,1.24,53,7.7,308,Radical Entertainment,M,79
007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,16,4.6,14,Eutechnyx,T,51
007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48,69,7.1,71,Treyarch,T,65
007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,42,6.6,47,Treyarch,T,65
007: Quantum of Solace,Wii,2008,Action,Activision,0.29,0.28,0.01,0.07,0.65,11,7.5,26,Treyarch,T,54
007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.13,10,0,,Vicarious Visions,T,65
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03,18,6.3,55,Treyarch,T,70
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,11,6.7,44,Black Ops Entertainment,T,61
1 vs. 100,DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.08,5,3.2,5,ECI,E,38
100 Classic Books,DS,2008,Misc,Nintendo,0.12,0.52,0,0.02,0.66,7,6,12,Genius Sonority Inc.,,70
101-in-1 Explosive Megamix,DS,2008,Puzzle,Nordcurrent,0.05,0.12,0,0.02,0.19,13,0,,Nordcurrent,E,46
101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0,0,0,0.03,7,0,,Nordcurrent,E10+,41
