_ Tales of Xillia 2,PS3,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,59,7.9,216,Bandai Namco Games,T,71,
_.hack//Infection Part 1,PS2,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,35,8.5,60,CyberConnect2,T,75,
_.hack//Mutation Part 2,PS2,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,24,8.9,81,CyberConnect2,T,76,
_.hack//Outbreak Part 3,PS2,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,23,8.7,19,CyberConnect2,T,70,
_[Prototype 2],X360,Action,Activision,0.48,0.24,0,0.07,0.79,69,7,173,Radical Entertainment,M,74,
_[Prototype 2],PS3,Action,Activision,0.36,0.28,0,0.1,0.74,39,6.8,179,Radical Entertainment,M,79,
_[Prototype 2],PC,Action,Activision,0.07,0.03,0,0.01,0.11,12,6.4,389,Radical Entertainment,M,76,
_[Prototype],X360,Action,Activision,0.84,0.35,0,0.12,1.31,83,7.8,356,Radical Entertainment,M,78,
_[Prototype],PS3,Action,Activision,0.65,0.4,0,0.19,1.24,53,7.7,308,Radical Entertainment,M,79,
_007 Racing,PS,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,16,4.6,14,Eutechnyx,T,51,
_007: Quantum of Solace,X360,Action,Activision,0.82,0.51,0.01,0.14,1.48,69,7.1,71,Treyarch,T,65,
_007: Quantum of Solace,PS3,Action,Activision,0.43,0.51,0.02,0.19,1.14,42,6.6,47,Treyarch,T,65,
_007: Quantum of Solace,Wii,Action,Activision,0.29,0.28,0.01,0.07,0.65,11,7.5,26,Treyarch,T,54,
_007: Quantum of Solace,DS,Action,Activision,0.11,0.01,0,0.01,0.13,10,0,,Vicarious Visions,T,65,
_007: Quantum of Solace,PC,Action,Activision,0.01,0.01,0,0,0.03,18,6.3,55,Treyarch,T,70,
_007: The World is not Enough,PS,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,11,6.7,44,Black Ops Entertainment,T,61,
_1 vs. 100,DS,Misc,DSI Games,0.08,0,0,0.01,0.08,5,3.2,5,ECI,E,38,
_100 Classic Books,DS,Misc,Nintendo,0.12,0.52,0,0.02,0.66,7,6,12,Genius Sonority Inc.,,70,
_101-in-1 Explosive Megamix,DS,Puzzle,Nordcurrent,0.05,0.12,0,0.02,0.19,13,0,,Nordcurrent,E,46,
_101-in-1 Sports Party Megamix,Wii,Sports,Nordcurrent,0.02,0,0,0,0.03,7,0,,Nordcurrent,E10+,41,
_15 Days,PC,Adventure,DTP Entertainment,0,0.01,0,0,0.01,6,5.8,8,DTP Entertainment,,63,
_1701 A.D.,PC,Simulation,Deep Silver,0,0.25,0,0.04,0.3,30,8.3,38,Related Designs,E10+,79,
_18 Wheeler: American Pro Trucker,PS2,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4,11,5.7,18,Acclaim Studios Cheltenham,E,61,
_18 Wheeler: American Pro Trucker,GC,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,17,6.8,8,Acclaim Studios Cheltenham,E,52,
_187: Ride or Die,PS2,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,33,6.8,12,Ubisoft,M,52,
_187: Ride or Die,XB,Racing,Ubisoft,0.05,0.01,0,0,0.06,40,6.9,8,Ubisoft Paris,M,51,
_2002 FIFA World Cup,PS2,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,19,5.6,18,EA Sports,E,73,
_2002 FIFA World Cup,XB,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,17,9,4,Software Creations,E,79,
_2002 FIFA World Cup,GC,Sports,Electronic Arts,0.04,0.01,0,0,0.05,9,7.7,6,EA Sports,E,78,
_2010 FIFA World Cup South Africa,PS3,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,56,7.8,57,EA Canada,E,82,
_2010 FIFA World Cup South Africa,X360,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,61,8.1,58,Electronic Arts,E,83,
_2010 FIFA World Cup South Africa,PSP,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,11,7.4,9,Electronic Arts,E,69,
_2010 FIFA World Cup South Africa,Wii,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,19,6.7,11,Electronic Arts,E,70,
_2014 FIFA World Cup Brazil,PS3,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,33,4.3,87,EA Canada,E,73,
_2014 FIFA World Cup Brazil,X360,Sports,Electronic Arts,0.15,0.25,0,0.03,0.42,29,4.4,93,EA Canada,E,74,
_24: The Game,PS2,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,53,8.2,40,SCE Studio Cambridge,M,62,
_25 to Life,PS2,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,23,4.9,46,"Ritual Entertainment, Avalanche Software",M,39,
_25 to Life,XB,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,20,7.2,13,"Ritual Entertainment, Avalanche Software",M,41,
_300: March to Glory,PSP,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,31,7.1,14,Collision Studios,M,55,
_3D Dot Game Heroes,PS3,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,66,8,96,Silicon Studio,E10+,77,
_4x4 EVO 2,XB,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,15,6.2,5,Terminal Reality,E,59,
_4x4 EVO 2,GC,Racing,Vivendi Games,0.11,0.03,0,0,0.14,7,0,,Terminal Reality,E,56,
_4x4 Evolution,PS2,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32,11,0,,Terminal Reality,E,64,
_50 Cent: Blood on the Sand,X360,Shooter,THQ,0.12,0.07,0,0.02,0.21,54,6.4,64,Swordfish Studios,M,71,
_50 Cent: Blood on the Sand,PS3,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,37,7.2,57,Swordfish Studios,M,72,
_50 Cent: Bulletproof,PS2,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,21,6.6,129,Genuine Games,M,47,
_50 Cent: Bulletproof,XB,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,14,5.9,21,Genuine Games,M,50,
_7 Days to Die,PS4,Action,Telltale Games,0.04,0.08,0,0.02,0.14,16,5.9,140,The Fun Pimps Entertainment LLC,M,45,
_7 Days to Die,XOne,Action,Telltale Games,0.03,0.02,0,0,0.05,17,5.2,74,The Fun Pimps Entertainment LLC,M,35,
